state,date,income_mean,income_median,year,avg_annual_cpi,real_median_income
Pulau Pinang,2012-01-01,5055,4039.0,2012,105.10833333333333,3842.701974153651
Pulau Pinang,2014-01-01,5993,4702.0,2014,110.73333333333333,4246.237206502107
Pulau Pinang,2016-01-01,6771,5409.0,2016,116.21666666666665,4654.237774272193
Pulau Pinang,2019-01-01,7774,6169.0,2019,123.33333333333333,5001.891891891892
Pulau Pinang,2020-01-01,6850,5474.0,2020,122.25833333333333,4477.404403244496
Pulau Pinang,2022-01-01,8267,6502.0,2022,128.9,5044.22032583398
Sabah,2012-01-01,4013,2860.0,2012,104.66666666666667,2732.484076433121
Sabah,2014-01-01,4879,3745.0,2014,108.94166666666666,3437.619521150463
Sabah,2016-01-01,5354,4110.0,2016,110.625,3715.2542372881358
Sabah,2019-01-01,5745,4235.0,2019,114.95833333333333,3683.9434577745565
Sabah,2020-01-01,5215,3773.0,2020,112.825,3344.1169953467756
Sabah,2022-01-01,6171,4577.0,2022,118.0,3878.813559322034
Sarawak,2012-01-01,4293,3047.0,2012,104.35000000000001,2919.9808337326303
Sarawak,2014-01-01,4934,3778.0,2014,109.44166666666666,3452.0673113530806
Sarawak,2016-01-01,5387,4163.0,2016,112.63333333333333,3696.0639242379407
Sarawak,2019-01-01,5959,4544.0,2019,116.75,3892.077087794433
Sarawak,2020-01-01,5087,3831.0,2020,114.69166666666666,3340.260117706895
Sarawak,2022-01-01,6457,4978.0,2022,120.79166666666667,4121.145222490513
Selangor,2012-01-01,7023,5353.0,2012,105.13333333333333,5091.629676601142
Selangor,2014-01-01,8252,6214.0,2014,111.15833333333335,5590.224154734237
Selangor,2016-01-01,9463,7225.0,2016,116.60833333333333,6195.955120417351
Selangor,2019-01-01,10827,8210.0,2019,124.25,6607.645875251509
Selangor,2020-01-01,9668,7300.0,2020,123.51666666666667,5910.133585211172
Selangor,2022-01-01,12233,9983.0,2022,132.08333333333334,7558.107255520504
Terengganu,2012-01-01,3967,3034.0,2012,104.93333333333334,2891.3595933926304
Terengganu,2014-01-01,4816,3777.0,2014,109.80833333333334,3439.6296577369662
Terengganu,2016-01-01,5776,4694.0,2016,113.03333333333335,4152.757298731936
Terengganu,2019-01-01,6815,5545.0,2019,117.05,4737.291755659974
Terengganu,2020-01-01,6051,4790.0,2020,115.55,4145.391605365643
Terengganu,2022-01-01,7248,5878.0,2022,123.16666666666667,4772.395128552098
W.P. Kuala Lumpur,2012-01-01,8586,5847.0,2012,104.11666666666667,5615.815591483912
W.P. Kuala Lumpur,2014-01-01,10629,7620.0,2014,109.34166666666665,6968.981022787898
W.P. Kuala Lumpur,2016-01-01,11692,9073.0,2016,115.49166666666667,7855.978064795439
W.P. Kuala Lumpur,2019-01-01,13257,10549.0,2019,123.04166666666667,8573.518455807653
W.P. Kuala Lumpur,2020-01-01,11728,9093.0,2020,122.3,7434.995911692559
W.P. Kuala Lumpur,2022-01-01,13325,10234.0,2022,128.475,7965.7520918466635
W.P. Labuan,2012-01-01,6317,5063.0,2012,106.60000000000001,4749.53095684803
